Zip Code,DMA,Country,Population
1001,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",17537
1002,Springfield-Holyoke MA,"HAMPSHIRE, MA",30280
1003,Springfield-Holyoke MA,"HAMPSHIRE, MA",11131
1005,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",5014
1007,Springfield-Holyoke MA,"HAMPSHIRE, MA",14906
1008,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",1272
1009,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",384
1010,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",3724
1011,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",1507
1012,Springfield-Holyoke MA,"HAMPSHIRE, MA",531
1013,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",23026
1014,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",0
1020,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",30148
1022,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",2604
1026,Springfield-Holyoke MA,"HAMPSHIRE, MA",958
1027,Springfield-Holyoke MA,"HAMPSHIRE, MA",17870
1028,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",16156
1030,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",11211
1031,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1151
1032,Springfield-Holyoke MA,"HAMPSHIRE, MA",551
1033,Springfield-Holyoke MA,"HAMPSHIRE, MA",6300
1034,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",2313
1035,Springfield-Holyoke MA,"HAMPSHIRE, MA",5301
1036,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",5193
1037,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",772
1038,Springfield-Holyoke MA,"HAMPSHIRE, MA",2897
1039,Springfield-Holyoke MA,"HAMPSHIRE, MA",1129
1040,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",40362
1050,Springfield-Holyoke MA,"HAMPSHIRE, MA",2334
1053,Springfield-Holyoke MA,"HAMPSHIRE, MA",1658
1054,Springfield-Holyoke MA,"FRANKLIN, MA",1997
1056,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",21331
1057,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",8801
1060,Springfield-Holyoke MA,"HAMPSHIRE, MA",15729
1062,Springfield-Holyoke MA,"HAMPSHIRE, MA",10587
1063,Springfield-Holyoke MA,"HAMPSHIRE, MA",574
1068,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1849
1069,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",8919
1070,Springfield-Holyoke MA,"HAMPSHIRE, MA",637
1071,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",1206
1072,Springfield-Holyoke MA,"FRANKLIN, MA",1490
1073,Springfield-Holyoke MA,"HAMPSHIRE, MA",6090
1074,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",477
1075,Springfield-Holyoke MA,"HAMPSHIRE, MA",17755
1077,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",9711
1079,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",480
1080,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",2532
1081,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",1827
1082,Springfield-Holyoke MA,"HAMPSHIRE, MA",10637
1083,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",3182
1084,Springfield-Holyoke MA,"HAMPSHIRE, MA",183
1085,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",41652
1088,Springfield-Holyoke MA,"HAMPSHIRE, MA",399
1089,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",28671
1092,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1133
1094,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",327
1095,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",14659
1096,Springfield-Holyoke MA,"HAMPSHIRE, MA",2607
1097,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",54
1098,Springfield-Holyoke MA,"HAMPSHIRE, MA",1186
1101,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",0
1103,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",2409
1104,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",23635
1105,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",11601
1106,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",16048
1107,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",11304
1108,Springfield-Holyoke MA,"HAMPDEN HDHA, MA",28925
1109,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",30125
1116,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",0
1118,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",14774
1119,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",13236
1128,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",2798
1129,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",6750
1151,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",8884
1201,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",44775
1220,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",8211
1222,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",818
1223,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",2351
1224,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",209
1225,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",3169
1226,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",6839
1230,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",8359
1235,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",2671
1236,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",1197
1237,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",2662
1238,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",5917
1240,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",4493
1243,Springfield-Holyoke MA,"HAMPSHIRE, MA",333
1245,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",803
1247,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",15703
1253,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",742
1254,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",977
1255,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",859
1256,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",764
1257,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",2138
1258,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",357
1259,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",506
1262,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",1110
1266,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",1360
1267,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",7853
1270,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",813
1301,Springfield-Holyoke MA,"FRANKLIN, MA",17715
1330,Springfield-Holyoke MA,"FRANKLIN, MA",1468
1331,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",13281
1337,Springfield-Holyoke MA,"FRANKLIN, MA",2626
1338,Springfield-Holyoke MA,"FRANKLIN, MA",170
1339,Springfield-Holyoke MA,"FRANKLIN, MA",1472
1340,Springfield-Holyoke MA,"FRANKLIN, MA",1642
1341,Springfield-Holyoke MA,"FRANKLIN, MA",1743
1342,Springfield-Holyoke MA,"FRANKLIN, MA",1759
1343,Albany-Schenectady-Troy NY,"BERKSHIRE, MA",46
1344,Springfield-Holyoke MA,"FRANKLIN, MA",1518
1346,Springfield-Holyoke MA,"FRANKLIN, MA",464
1349,Springfield-Holyoke MA,"FRANKLIN, MA",1231
1350,Springfield-Holyoke MA,"FRANKLIN, MA",86
1351,Springfield-Holyoke MA,"FRANKLIN, MA",2209
1354,Springfield-Holyoke MA,"FRANKLIN, MA",1604
1355,Springfield-Holyoke MA,"FRANKLIN, MA",917
1360,Springfield-Holyoke MA,"FRANKLIN, MA",3012
1364,Springfield-Holyoke MA,"FRANKLIN, MA",7819
1366,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1218
1367,Springfield-Holyoke MA,"FRANKLIN, MA",605
1368,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1316
1370,Springfield-Holyoke MA,"FRANKLIN, MA",4032
1373,Springfield-Holyoke MA,"FRANKLIN, MA",4160
1375,Springfield-Holyoke MA,"FRANKLIN, MA",3662
1376,Springfield-Holyoke MA,"FRANKLIN, MA",5096
1378,Springfield-Holyoke MA,"FRANKLIN, MA",744
1379,Springfield-Holyoke MA,"FRANKLIN, MA",836
1420,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",40666
1430,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",6210
1431,Boston MA-Manchester NH,"MIDDLESEX, MA",3195
1432,Boston MA-Manchester NH,"MIDDLESEX, MA",7703
1433,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",0
1434,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1712
1436,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",3460
1438,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",563
1440,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",20496
1450,Boston MA-Manchester NH,"MIDDLESEX, MA",11282
1451,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",4630
1452,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",4581
1453,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",41446
1460,Boston MA-Manchester NH,"MIDDLESEX, MA",9754
1462,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",11150
1463,Boston MA-Manchester NH,"MIDDLESEX, MA",12049
1464,Boston MA-Manchester NH,"MIDDLESEX, MA",7572
1466,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",0
1467,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",511
1468,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",4124
1469,Boston MA-Manchester NH,"MIDDLESEX, MA",7454
1473,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",7566
1474,Boston MA-Manchester NH,"MIDDLESEX, MA",1964
1475,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",10738
1477,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",0
1501,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",16412
1503,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",3098
1504,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",9201
1505,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",4524
1506,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",3406
1507,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",13379
1508,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1509,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1510,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",13855
1515,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",2123
1516,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",8745
1518,Boston MA-Manchester NH,"WORCESTER (REM), MA",3490
1519,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",6657
1520,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",15061
1521,Springfield-Holyoke MA,"HAMPDEN BALANCE, MA",2510
1522,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",3497
1523,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",7735
1524,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",6702
1525,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",227
1526,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1527,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",13521
1529,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",3237
1530,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1531,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",1247
1532,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",14918
1534,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",6262
1535,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",4760
1536,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",7709
1537,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",2337
1538,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1539,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1540,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",11386
1541,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",3438
1542,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",2299
1543,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",8463
1545,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",36269
1549,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",0
1550,Boston MA-Manchester NH,"WORCESTER (REM), MA",16858
1560,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",4477
1561,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",243
1562,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",11856
1564,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",8000
1566,Boston MA-Manchester NH,"WORCESTER (REM), MA",6006
1568,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",7706
1569,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",13864
1570,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",16926
1571,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",11637
1581,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",18836
1583,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",7639
1585,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",4661
1586,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1587,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",0
1588,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",9864
1590,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",9297
1601,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1602,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",24166
1603,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",19981
1604,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",36772
1605,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",28742
1606,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",19375
1607,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",8698
1608,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",3371
1609,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",20714
1610,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",23438
1611,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",2451
1612,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",4845
1613,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1614,Boston MA-Manchester NH,"WORCESTER WO SPLIT, MA",0
1701,Boston MA-Manchester NH,"MIDDLESEX, MA",32098
1702,Boston MA-Manchester NH,"MIDDLESEX, MA",39226
1718,Boston MA-Manchester NH,"MIDDLESEX, MA",716
1719,Boston MA-Manchester NH,"MIDDLESEX, MA",5546
1720,Boston MA-Manchester NH,"MIDDLESEX, MA",22680
1721,Boston MA-Manchester NH,"MIDDLESEX, MA",17478
1730,Boston MA-Manchester NH,"MIDDLESEX, MA",14031
1731,Boston MA-Manchester NH,"MIDDLESEX, MA",2012
1740,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",5167
1741,Boston MA-Manchester NH,"MIDDLESEX, MA",5160
1742,Boston MA-Manchester NH,"MIDDLESEX, MA",19383
1745,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",501
1746,Boston MA-Manchester NH,"MIDDLESEX, MA",14480
1747,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",5955
1748,Boston MA-Manchester NH,"MIDDLESEX, MA",16720
1749,Boston MA-Manchester NH,"MIDDLESEX, MA",19843
1752,Boston MA-Manchester NH,"MIDDLESEX, MA",39771
1754,Boston MA-Manchester NH,"MIDDLESEX, MA",10560
1756,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",5995
1757,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",28694
1760,Boston MA-Manchester NH,"MIDDLESEX, MA",35715
1770,Boston MA-Manchester NH,"MIDDLESEX, MA",4302
1772,Boston MA-Manchester NH,"WORCESTER B SPLIT, MA",9520
1773,Boston MA-Manchester NH,"MIDDLESEX, MA",4791
1775,Boston MA-Manchester NH,"MIDDLESEX, MA",7061
1776,Boston MA-Manchester NH,"MIDDLESEX, MA",18697
1778,Boston MA-Manchester NH,"MIDDLESEX, MA",13850
1801,Boston MA-Manchester NH,"MIDDLESEX, MA",40375
1803,Boston MA-Manchester NH,"MIDDLESEX, MA",26103
1810,Boston MA-Manchester NH,"ESSEX BALANCE, MA",35375
1821,Boston MA-Manchester NH,"MIDDLESEX, MA",32348
1824,Boston MA-Manchester NH,"MIDDLESEX, MA",25961
1826,Boston MA-Manchester NH,"MIDDLESEX, MA",30948
1827,Boston MA-Manchester NH,"MIDDLESEX, MA",3337
1830,Boston MA-Manchester NH,"ESSEX BALANCE, MA",26524
1831,Boston MA-Manchester NH,"ESSEX BALANCE, MA",0
1832,Boston MA-Manchester NH,"ESSEX BALANCE, MA",23372
1833,Boston MA-Manchester NH,"ESSEX BALANCE, MA",8569
1834,Boston MA-Manchester NH,"ESSEX BALANCE, MA",6697
1835,Boston MA-Manchester NH,"ESSEX BALANCE, MA",13047
1840,Boston MA-Manchester NH,"ESSEX HDHA, MA",5248
1841,Boston MA-Manchester NH,"ESSEX HDHA, MA",48295
1842,Boston MA-Manchester NH,"ESSEX BALANCE, MA",0
1843,Boston MA-Manchester NH,"ESSEX HDHA, MA",25942
1844,Boston MA-Manchester NH,"ESSEX BALANCE, MA",49587
1845,Boston MA-Manchester NH,"ESSEX BALANCE, MA",30170
1850,Boston MA-Manchester NH,"MIDDLESEX, MA",16890
1851,Boston MA-Manchester NH,"MIDDLESEX, MA",29849
1852,Boston MA-Manchester NH,"MIDDLESEX, MA",34756
1854,Boston MA-Manchester NH,"MIDDLESEX, MA",29561
1860,Boston MA-Manchester NH,"ESSEX BALANCE, MA",6752
1862,Boston MA-Manchester NH,"MIDDLESEX, MA",10676
1863,Boston MA-Manchester NH,"MIDDLESEX, MA",9106
1864,Boston MA-Manchester NH,"MIDDLESEX, MA",15598
1867,Boston MA-Manchester NH,"MIDDLESEX, MA",24894
1876,Boston MA-Manchester NH,"MIDDLESEX, MA",30433
1879,Boston MA-Manchester NH,"MIDDLESEX, MA",12305
1880,Boston MA-Manchester NH,"MIDDLESEX, MA",26450
1885,Boston MA-Manchester NH,"ESSEX BALANCE, MA",0
1886,Boston MA-Manchester NH,"MIDDLESEX, MA",24087
1887,Boston MA-Manchester NH,"MIDDLESEX, MA",23538
1890,Boston MA-Manchester NH,"MIDDLESEX, MA",22579
1901,Boston MA-Manchester NH,"ESSEX BALANCE, MA",1878
1902,Boston MA-Manchester NH,"ESSEX HDHA, MA",48218
1903,Boston MA-Manchester NH,"ESSEX BALANCE, MA",0
1904,Boston MA-Manchester NH,"ESSEX BALANCE, MA",17320
1905,Boston MA-Manchester NH,"ESSEX BALANCE, MA",25590
1906,Boston MA-Manchester NH,"ESSEX BALANCE, MA",28037
1907,Boston MA-Manchester NH,"ESSEX BALANCE, MA",14758
1908,Boston MA-Manchester NH,"ESSEX BALANCE, MA",3488
1913,Boston MA-Manchester NH,"ESSEX BALANCE, MA",17218
1915,Boston MA-Manchester NH,"ESSEX BALANCE, MA",41431
1921,Boston MA-Manchester NH,"ESSEX BALANCE, MA",8228
1922,Boston MA-Manchester NH,"ESSEX BALANCE, MA",2812
1923,Boston MA-Manchester NH,"ESSEX BALANCE, MA",27391
1929,Boston MA-Manchester NH,"ESSEX BALANCE, MA",3687
1930,Boston MA-Manchester NH,"ESSEX BALANCE, MA",29858
1931,Boston MA-Manchester NH,"ESSEX BALANCE, MA",0
1936,Boston MA-Manchester NH,"ESSEX BALANCE, MA",0
1937,Boston MA-Manchester NH,"ESSEX BALANCE, MA",136
1938,Boston MA-Manchester NH,"ESSEX BALANCE, MA",13810
1940,Boston MA-Manchester NH,"ESSEX BALANCE, MA",13425
1944,Boston MA-Manchester NH,"ESSEX BALANCE, MA",5327
1945,Boston MA-Manchester NH,"ESSEX BALANCE, MA",20393
1949,Boston MA-Manchester NH,"ESSEX BALANCE, MA",9656
1950,Boston MA-Manchester NH,"ESSEX BALANCE, MA",17890
1951,Boston MA-Manchester NH,"ESSEX BALANCE, MA",4152
1952,Boston MA-Manchester NH,"ESSEX BALANCE, MA",9035
1960,Boston MA-Manchester NH,"ESSEX BALANCE, MA",52313
1961,Boston MA-Manchester NH,"ESSEX BALANCE, MA",0
1965,Boston MA-Manchester NH,"ESSEX BALANCE, MA",0
1966,Boston MA-Manchester NH,"ESSEX BALANCE, MA",7184
1969,Boston MA-Manchester NH,"ESSEX BALANCE, MA",6232
1970,Boston MA-Manchester NH,"ESSEX BALANCE, MA",42991
1982,Boston MA-Manchester NH,"ESSEX BALANCE, MA",7991
1983,Boston MA-Manchester NH,"ESSEX BALANCE, MA",6496
1984,Boston MA-Manchester NH,"ESSEX BALANCE, MA",5179
1985,Boston MA-Manchester NH,"ESSEX BALANCE, MA",4545
2019,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",16929
2021,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",22829
2025,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",8393
2026,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",25362
2030,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",5922
2031,"Providence-New Bedford,MA","BRISTOL EAST, MA",0
2032,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",4410
2035,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",17448
2038,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",32843
2043,Boston MA-Manchester NH,"PLYMOUTH BALANCE, MA",23047
2045,Boston MA-Manchester NH,"PLYMOUTH BALANCE, MA",10402
2048,"Providence-New Bedford,MA","BRISTOL EAST, MA",23678
2050,Boston MA-Manchester NH,"PLYMOUTH BALANCE, MA",26032
2052,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",12610
2053,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",13162
2054,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",8144
2056,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",11388
2061,Boston MA-Manchester NH,"PLYMOUTH BALANCE, MA",10897
2062,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",29121
2066,Boston MA-Manchester NH,"PLYMOUTH BALANCE, MA",18042
2067,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",18148
2071,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",1572
2072,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",28338
2081,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",19358
2090,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",15612
2093,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",11597
2108,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",4211
2109,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",4051
2110,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",2270
2111,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",7452
2113,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",7464
2114,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",13247
2115,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",29244
2116,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",23215
2118,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",27325
2119,Boston MA-Manchester NH,"SUFFOLK HDBA, MA",28152
2120,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",15719
2121,Boston MA-Manchester NH,"SUFFOLK HDBA, MA",28479
2122,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",24643
2124,Boston MA-Manchester NH,"SUFFOLK HDBA, MA",55074
2125,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",35254
2126,Boston MA-Manchester NH,"SUFFOLK HDBA, MA",29141
2127,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",37257
2128,Boston MA-Manchester NH,"SUFFOLK HDHA, MA",46655
2129,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",18901
2130,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",39435
2131,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",32819
2132,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",28505
2134,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",18057
2135,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",42644
2136,Boston MA-Manchester NH,"SUFFOLK HDBA, MA",33084
2137,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",0
2138,Boston MA-Manchester NH,"MIDDLESEX, MA",37668
2139,Boston MA-Manchester NH,"MIDDLESEX, MA",36979
2140,Boston MA-Manchester NH,"MIDDLESEX, MA",19737
2141,Boston MA-Manchester NH,"MIDDLESEX, MA",13664
2142,Boston MA-Manchester NH,"MIDDLESEX, MA",2929
2143,Boston MA-Manchester NH,"MIDDLESEX, MA",26773
2144,Boston MA-Manchester NH,"MIDDLESEX, MA",24682
2145,Boston MA-Manchester NH,"MIDDLESEX, MA",26430
2146,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",0
2148,Boston MA-Manchester NH,"MIDDLESEX, MA",61375
2149,Boston MA-Manchester NH,"MIDDLESEX, MA",44993
2150,Boston MA-Manchester NH,"SUFFOLK HDHA, MA",39263
2151,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",53873
2152,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",18391
2153,Boston MA-Manchester NH,"MIDDLESEX, MA",0
2155,Boston MA-Manchester NH,"MIDDLESEX, MA",59779
2159,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",0
2163,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",2569
2169,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",56541
2170,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",19434
2171,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",17849
2176,Boston MA-Manchester NH,"MIDDLESEX, MA",28132
2180,Boston MA-Manchester NH,"MIDDLESEX, MA",21967
2184,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",37082
2186,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",27527
2188,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",15301
2189,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",15146
2190,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",17415
2191,Boston MA-Manchester NH,"NORFOLK BALANCE, MA",8028
2199,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",1177
2210,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",2609
2215,Boston MA-Manchester NH,"SUFFOLK BALANCE, MA",25023
2301,Boston MA-Manchester NH,"PLYMOUTH HDBA, MA",61320
2302,Boston MA-Manchester NH,"PLYMOUTH BALANCE, MA",33841
