Zip Code,DMA,Country,Population
52048,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",484
52049,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",1496
52050,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DELAWARE, IA",635
52052,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",2880
52053,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DUBUQUE, IA",1046
52054,Davenport IA-Rock Island-Moline IL,"JACKSON, IA",920
52057,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DELAWARE, IA",7694
52060,Davenport IA-Rock Island-Moline IL,"JACKSON, IA",8467
52064,Davenport IA-Rock Island-Moline IL,"JACKSON, IA",936
52065,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DUBUQUE, IA",1050
52066,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",72
52068,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DUBUQUE, IA",4454
52069,Davenport IA-Rock Island-Moline IL,"JACKSON, IA",1568
52070,Davenport IA-Rock Island-Moline IL,"JACKSON, IA",769
52072,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",306
52073,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DUBUQUE, IA",1343
52074,Davenport IA-Rock Island-Moline IL,"JACKSON, IA",359
52076,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",2428
52077,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",354
52078,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DUBUQUE, IA",677
52079,Davenport IA-Rock Island-Moline IL,"JACKSON, IA",994
52101,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WINNESHIEK, IA",13467
52132,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WINNESHIEK, IA",1897
52133,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WINNESHIEK, IA",642
